
Parameters:
DATA_PATH=./data/
DATASET=ogbn-proteins
DROPOUT=0.5
ENABLE_LOOKAHEAD=False
EPOCHS=1000
EVALUATE=None
GPU=0
GRAPH_METADATA_PATH=kernels/w12_nz64_warp_4/
HIDDEN_DIM=256
HIDDEN_LAYERS=3
KERNEL_MODE=auto
MAXK=16
MAXK_FALLBACK_THRESHOLD=0.001
MAXK_NUM_WARPS=12
MAXK_WARP_MAX_NZ=64
MODEL=gin
NONLINEAR=maxk
NORM=False
PATH=./run/
PLOT_PATH=./run/plots
PROFILE_KERNELS=False
SAVE_MODEL=False
SEED=97
SELFLOOP=False
USE_MAXK_KERNELS=True
VALIDATE_KERNELS=False
W_LR=0.01
W_WEIGHT_DECAY=0

Training with MaxK CUDA kernel acceleration
Graph name for metadata: protein
Kernel mode: auto
Creating GIN model...
Using MaxK-accelerated GIN model
Model parameters: 228,467 total, 228,467 trainable
Graph statistics: 132534 nodes, 79122504 edges
Average degree: 597.00
Feature dimension: 8, Hidden dimension: 256
MaxK value: 16, Nonlinearity: maxk
Starting training...
Epoch 0097/1000| Loss 0.3108 | Train Accuracy 0.7382 | Val Accuracy 0.7441 | Test Accuracy 0.6967 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0098/1000| Loss 0.3106 | Train Accuracy 0.7463 | Val Accuracy 0.7459 | Test Accuracy 0.6948 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0099/1000| Loss 0.3124 | Train Accuracy 0.7355 | Val Accuracy 0.7377 | Test Accuracy 0.6929 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0100: Avg Forward 20.675ms, Avg Backward 10.876ms, Total per epoch 31.551ms
Epoch 0100/1000| Loss 0.3091 | Train Accuracy 0.7054 | Val Accuracy 0.7331 | Test Accuracy 0.6848 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0101/1000| Loss 0.3073 | Train Accuracy 0.7169 | Val Accuracy 0.7320 | Test Accuracy 0.6856 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0102/1000| Loss 0.3074 | Train Accuracy 0.7485 | Val Accuracy 0.7482 | Test Accuracy 0.6907 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0103/1000| Loss 0.3076 | Train Accuracy 0.7566 | Val Accuracy 0.7536 | Test Accuracy 0.6962 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0104/1000| Loss 0.3061 | Train Accuracy 0.7481 | Val Accuracy 0.7421 | Test Accuracy 0.7031 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0105/1000| Loss 0.3066 | Train Accuracy 0.7533 | Val Accuracy 0.7506 | Test Accuracy 0.6938 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
Epoch 0106/1000| Loss 0.3046 | Train Accuracy 0.7539 | Val Accuracy 0.7548 | Test Accuracy 0.6917 | Best val. Accuracy 0.7560 | Best test Accuracy 0.7027
